api8,gas_mcf_d,oil_bbl_d
47538518,791.94,41.08
47538520,519.41,43.12
47538519,704.99,43.01
47538203,0.0,0.0
47538267,0.0,0.0
47538517,508.49,82.73
47538516,209.81,29.49
47538631,1517.79,152.16
47538321,0.0,0.0
47538315,0.0,0.0
47538316,0.0,0.0
47537350,220.27,31.76
47537391,144.34,30.05
47538270,160.21,26.12
47537502,282.36,49.6
47534910,22.78,1.31
47538640,1101.16,198.77
47538638,1136.05,125.36
47538639,1522.77,170.74
47538628,862.67,154.84
47538630,1490.19,159.93
47538673,209.25,83.89
47538672,408.44,146.92
47538558,0.0,0.0
47538898,746.32,93.15
47538899,747.38,112.15
47538912,707.89,92.8
47538832,654.6,195.92
47538913,863.9,126.98
47538801,0.0,0.0
47538735,135.1,130.71
47538741,142.35,50.95
47538833,648.48,182.0
47538834,247.08,115.16
47536603,0.0,0.0
47536891,0.15,8.32
47536665,4.03,4.8
47536292,7.57,3.8
47536620,0.0,0.08
47536442,0.0,0.0
47536488,1.34,0.04
47536420,9.84,2.82
47536597,10.14,3.0
47536460,20.78,2.39
47538794,0.0,0.0
47536719,2.14,5.78
47536182,28.21,2.39
47536561,28.21,2.39
47538313,0.0,0.0
47538397,0.0,0.0
47538400,0.0,0.0
47538399,0.0,0.0
47537309,0.0,0.0
47538797,0.0,0.0
47537140,0.0,0.0
47538975,880.12,119.96
47538705,818.95,96.2
47538704,818.98,89.86
47538490,0.0,0.0
47536443,9.84,2.82
47536470,0.0,0.0
47537298,0.0,0.0
47536569,28.21,2.39
47537897,0.0,0.0
47537300,0.0,0.0
47538796,0.0,0.0
47536596,10.14,3.0
47536544,10.14,3.0
47538285,0.0,0.0
47538795,0.0,0.0
47536588,0.0,4.11
47538889,0.0,0.0
47537400,16.73,24.13
47538124,0.0,0.0
47538793,109.7,99.85
47538733,343.4,296.58
47538734,0.0,0.0
47537258,0.0,0.0
47536737,2.84,0.31
47537404,2.14,1.2
47536565,0.0,0.0
47536762,92.85,9.23
47538974,4659.4,933.85
47538964,5020.56,319.81
47538972,13839.07,652.56
47538973,11719.01,530.6
47537248,5.04,2.04
47538943,1130.59,199.47
47538939,1203.71,217.34
47538945,0.0,0.0
47538946,0.0,0.0
47538944,1524.78,318.67
47538941,1927.47,480.35
47538751,0.0,0.0
47538940,1709.24,196.93
47538942,0.0,0.0
47538865,0.0,0.0
38331673,0.0,0.0
38331761,0.0,0.0
38331796,0.0,0.0
38334293,0.0,0.0
38331779,0.0,0.0
38334341,0.0,0.0
38334347,0.0,0.0
38334348,0.0,0.0
38334345,0.0,0.0
38334344,0.0,0.0
38334495,0.0,0.0
38334460,0.0,0.0
38334350,0.0,0.0
38334457,0.0,0.0
38335106,0.0,0.0
38336041,0.0,0.0
